strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,35,gpb,3,5.894598733844998,5.138592728287381
ClassGen,0_100,home,36,gpb,3,6.074055800306667,5.410293773733334
ClassGen,0_100,home,37,gpb,3,5.694959720249206,5.9633157234242065
ClassGen,0_100,home,38,gpb,3,6.001088385627778,6.012953502966667
ClassGen,0_100,home,39,gpb,3,6.897978183138889,6.675074812316667
ClassGen,0_100,home,40,gpb,3,6.792024017599999,6.630723891961111
ClassGen,0_100,home,41,gpb,3,8.173651648488889,7.437474362038889
ClassGen,0_100,home,42,gpb,3,8.469330506711112,8.210852450394443
ClassGen,0_100,home,43,gpb,3,9.183900673400002,9.250943757499998
ClassGen,0_100,home,44,gpb,3,8.612806825272221,8.46289780065
ClassGen,0_100,home,45,gpb,3,8.976258361033333,8.821291578972222
ClassGen,0_100,home,46,gpb,3,9.301263787477778,9.157740979611113
ClassGen,0_100,home,47,gpb,3,10.104122779638887,9.980245638355555
ClassGen,0_100,home,48,gpb,3,9.621676741616668,9.820598032694445
ClassGen,0_100,import,25,gpb,3,4.554695310566666,5.8568210751866685
ClassGen,0_100,import,26,gpb,3,4.617481711096667,5.298839853706667
ClassGen,0_100,import,27,gpb,3,5.005308220113334,5.771796444113334
ClassGen,0_100,import,28,gpb,3,4.87349676304,5.890874724986666
ClassGen,0_100,import,29,gpb,3,5.109370574086667,5.504312541486667
ClassGen,0_100,import,30,gpb,3,4.618725452853333,5.477764886
ClassGen,0_100,import,31,gpb,3,5.845683529913333,6.732862951353333
ClassGen,0_100,import,32,gpb,3,6.003319077553333,7.1772075656
ClassGen,0_100,import,33,gpb,3,5.834491152906668,7.425959371286666
ClassGen,0_100,import,34,gpb,3,6.41768354538,7.7748743028466665
ClassGen,0_100,import,35,gpb,3,6.205999235642593,7.606213766977778
ClassGen,0_100,import,36,gpb,3,7.120111873258888,8.352527964845557
ClassGen,0_100,import,37,gpb,3,6.950174771803198,8.504424546349831
